Wall time,Step,Value
1685697421.5014431,0,2.3133132457733154
1685697638.677508,1,2.3048131465911865
1685697856.328491,2,2.3012301921844482
1685698074.6591268,3,2.3004658222198486
1685698292.5378976,4,2.3002517223358154
1685698510.3225918,5,2.2995553016662598
1685698727.7645476,6,2.2993483543395996
1685698941.9781697,7,2.299398422241211
1685699153.3423142,8,2.299055337905884
1685699364.7687867,9,2.2992680072784424
1685699576.0092258,10,2.298158645629883
1685699787.5537033,11,2.296820878982544
1685699998.7993515,12,2.2974255084991455
1685700210.1466682,13,2.300088405609131
1685700421.5205421,14,2.294370651245117
1685700632.893574,15,2.2935194969177246
1685700844.3595793,16,2.2928004264831543
1685701055.7369082,17,2.291687250137329
1685701267.1577356,18,2.288743495941162
1685701478.5582993,19,2.2876179218292236
1685701689.973457,20,2.2857577800750732
1685701901.2973027,21,2.282999038696289
1685702112.658695,22,2.282426357269287
1685702324.130516,23,2.2815330028533936
1685702535.4297497,24,2.2789483070373535
1685702746.7673442,25,2.278210401535034
1685702958.1179445,26,2.275186777114868
1685703169.5779014,27,2.2770543098449707
1685703381.0870662,28,2.2773654460906982
1685703592.293004,29,2.275376319885254
1685703803.791575,30,2.2716970443725586
1685704015.1397543,31,2.268144130706787
1685704226.538229,32,2.2682979106903076
1685704437.990733,33,2.2656638622283936
1685704649.2366812,34,2.266814708709717
1685704860.6008122,35,2.2640788555145264
1685705072.0486264,36,2.2664687633514404
1685705283.4569778,37,2.2656197547912598
1685705494.936586,38,2.267763376235962
1685705706.4398906,39,2.2773072719573975
1685705917.9798706,40,2.2715907096862793
1685706129.258079,41,2.269803285598755
1685706340.7762163,42,2.2783641815185547
1685706552.3853638,43,2.2883431911468506
1685706763.73377,44,2.2938268184661865
1685706975.1050928,45,2.2878878116607666
1685707186.4621778,46,2.2759854793548584
1685707397.8363583,47,2.284071445465088
1685707609.3487554,48,2.2580811977386475
1685707820.812526,49,2.2051920890808105
1685708032.0686452,50,2.162271738052368
1685708243.5037498,51,2.135791301727295
1685708454.9176245,52,2.1272377967834473
1685708666.2961628,53,2.101719617843628
1685708877.5631485,54,2.068229913711548
1685709089.028546,55,2.0490787029266357
1685709300.3958814,56,2.0343098640441895
1685709511.8188624,57,2.0347940921783447
1685709723.2921605,58,2.0089986324310303
1685709934.689672,59,2.0356409549713135
1685710146.1761723,60,2.0931506156921387
1685710357.4947155,61,2.026470899581909
1685710569.0106466,62,1.9758422374725342
1685710780.4132926,63,1.9701647758483887
1685710991.8623447,64,1.9373044967651367
1685711203.361877,65,1.909004807472229
1685711414.755634,66,1.9020384550094604
1685711626.1735494,67,1.8784699440002441
1685711837.0385773,68,1.8608927726745605
1685712047.878718,69,1.8470582962036133
1685712258.7176912,70,1.831802248954773
1685712469.6337554,71,1.8166298866271973
1685712680.511313,72,1.8140937089920044
1685712891.1933467,73,1.7991435527801514
1685713101.8051145,74,1.8014321327209473
1685713312.5474207,75,1.803077220916748
1685713523.2855535,76,1.791580319404602
1685713734.0587885,77,1.7878739833831787
1685713944.8667696,78,1.7908145189285278
1685714155.6587484,79,1.775030255317688
1685714366.3328054,80,1.8043625354766846
1685714576.845145,81,1.8538217544555664
1685714787.3159468,82,1.802821159362793
1685714998.0486677,83,1.7991031408309937
1685715208.9391434,84,1.7860515117645264
1685715419.8867304,85,1.806365728378296
1685715630.8211217,86,1.8023381233215332
1685715841.8015547,87,1.757693886756897
1685716052.6702034,88,1.726586103439331
1685716263.572769,89,1.7324825525283813
1685716474.6157353,90,1.7082785367965698
1685716685.6258624,91,1.7388296127319336
